,Text,Label
0,everything top much trouble decor throughout lovely clean well maintained ali reception chris valet parking stephan waiter exceptional host made stay memorable including birthday cake room candle desert dinner personal u,Positive
1,place every time order drive thru make park wait today waited min food arrived stone cold asked replace waited min got car went inside find going forgotten quickly scrambled around get order together ive got home one burger stone cold rock solid im,Negative
2,staff went beyond time suggesting restaurant securing table u room perfect,Positive
3,food delicious wonderful tour local speciality excellent presentation course well balanced great texture flavour particularly enjoyed atmosphere informal expected christophe came table take order really lovely character made u felt ease respected reflected staff well incredibly professional clearly take pride work remaining personable,Positive
4,called quote told would show next day provide quote waited never showed provided explanation no showing follow unprofessional unreliable company would not recommend,Negative
5,wife stayed maison cote may pleasantly surprisingly amazing dinner restaurant chef christophe recently purchased place lovely conversation food time new york remember telling food michelin star worthy happy see michelin start day back indulge amazing gastronomical delight congrats chef wish best rd star making list,Positive
6,bought bag quality remarkableits well worth money highquality product highly recommended,Positive
7,finally booked cleaner mom lot go felt house keeping would go long way helping mental state looking forward house deep cleaned starting fresh fall never even received clean person scheduled company wasnt hour scheduled time no body even reached time frame called confirm one hour late mark cancel min later not book company someone appreciates punctuality,Negative
8,completely incompetent tree care service cut large healthy branch whilst leaving unproductive dried shoot tree act defied common sense qualified arborist know not prune tree spring summer meant pruned dormant season order minimizes risk fungus infection insect infestation dead branch removed time however mentioned healthy fully living branch cut left tree property lopsided dead branch still attached healthy living one grass would never recommend,Negative
9,bought bag quality remarkableits well worth money highquality product highly recommended,Positive
10,ordered value pk supposed include gallon oz spray nozzle july rd recieved oz bottle fedex medium box reached company several time gotten nowhere every time call take name info done nothing rectify situation,Negative
11,rather using standard marketing automation tool switched salesforce marketing cloud besides powerful automation feature also tightly integrated salesforce crm sending personalized marketing campaign breeze salesforce marketing cloud,Positive
12,segment data working knowledge sql required integration gtm apis heavily reliant tech team,Negative
13,finally easy use one product developed average person extremely reasonable fee responsive developer team opinion disrupt otherwise utterly monopolized crypto wallet market,Positive
14,app going explode,Positive
15,watch pocket deal guy theyll quote one thing phone jack price actually,Negative
16,company used pretty good last year awful get screwed around every month either dont show change time night morning ive take picture numerous time obvious thing miss last time asked money back not hire company,Negative
17,would not hire company ever no response waiting week found another handyman actually called back,Negative
