,Text,Label
0,no way plug u unless go,negative
1,good case excellent value,positive
2,great jawbone,positive
3,charger conversation lasting problem,negative
4,mic great,positive
5,plug get line right get decent volume,negative
6,several dozen several contact imagine fun sending one one,negative
7,razr must,positive
8,needle say wasted money,negative
9,waste money time,negative
10,sound quality great,positive
11,impressed going original battery extended battery,positive
12,two started notice static sound headset,negative
13,good quality though,positive
14,design odd ear clip not comfortable,negative
15,highly recommend one blue tooth phone,positive
16,advise everyone not,negative
17,far good,positive
18,work great,positive
19,place way make wonder long would last,negative
20,went motorolas website could not get pair,negative
21,bought use fire absolutely loved,positive
23,yet run new battery two bar thats three day without charging,positive
24,bought mother problem battery,negative
25,great pocket pc phone combination,positive
26,ive owned phone month say best mobile phone ive,positive
27,didnt think instruction provided helpful,negative
28,people couldnt hear talk pull talk phone,negative
29,doesnt hold charge,negative
30,simple little phone use,negative
31,product people like ear,positive
32,unusable moving car speed,negative
33,two year left contract hate phone,negative
34,car charger well charger included make sure never run recommended,positive
35,need least get phone book time first turn life short,negative
36,kept well,positive
37,poor talk time performance,negative
38,case great work fine,positive
39,worthless product,negative
40,great camera thats mp nice clear great picture quality,positive
41,not impressed product,negative
42,nice headset priced right,positive
43,hear garbage audio,negative
44,excellent bluetooth headset,positive
45,feature want,positive
46,right mind gonna buy battery,negative
47,verizon regarding dropped call returned phone two day,negative
48,case seems well made,positive
49,disappointed battery,negative
50,not loud enough doesnt turn like,negative
51,good protection not make phone,positive
52,keyboard actually turn pda machine instead neat gadget,positive
53,phone pretty sturdy ive never large problem,positive
54,love thing,positive
55,everything fine reasonable price ie,positive
56,disappointed,negative
57,even dropped phone second still work great,positive
58,happy no complaint one regarding sound quality end,positive
59,button bad,negative
60,essentially forget tech support,negative
61,really recommend since look nice elegant cool,positive
62,headphone great find think perhaps best purchase ive made last several year seriously,positive
63,buy different phone not,negative
64,hold phone particular angle party hear clearly,negative
65,one big mp player button phone front cover let skip song lock second,negative
66,week later died,negative
67,feel comfortable headset wear glass get way sometimes,positive
68,great,positive
69,device great several situation,positive
70,mic doesnt work,negative
71,even series fairly quiet trouble person saying,negative
72,great choice,positive
73,nice docking station home work,positive
74,beautiful phone,positive
75,love product,positive
76,not buy advertised,negative
77,great little item,positive
78,love phone handy lot feature,positive
79,purchased within day no longer working,negative
80,wear hold well,positive
81,not good bargain,negative
82,well packaged arrived time work,positive
83,battery quickly,negative
84,item worked great broke month use,negative
85,headset easy use everyone love,positive
86,phone work great,positive
87,construction headset poor,negative
88,product excellent work better verizon one boy cheaper,positive
89,phone load super,positive
90,product cost much one expect work far better ease thing,negative
91,made sturdy,positive
92,worked great,positive
93,ear play music one ear,negative
94,dont waste money,negative
95,order,positive
96,plan use car forget,negative
97,found product big,negative
98,best ive found far ive tried one best quality well ease using,positive
99,beware could money right,negative
100,definitely bargain,positive
101,price good free shipping good purchase,positive
102,received supposedly new motorola apparently not match phone charger,negative
103,camera nice picture also cool like black white,positive
104,thats huge design flaw unless im not using dont think case,negative
105,love headset jabra bluetooth headset great reception good ear piece comfortable fit,positive
106,camera although rated impressive fall well expectation relatively high resolution,negative
107,car charger not work,negative
108,sound quality end excellent use headset call wife ask wife use headset call,positive
109,phone slim light display beautiful,positive
110,little think thats sex toast rock sex right battery sleek leather case,positive
111,great product fast shipping,positive
112,absolutely great,positive
113,keyboard nice compromise full basic cell phone number keypad,positive
114,got phone around end may im completely unhappy,negative
115,comfortable ear,positive
116,winner u,positive
117,setup couldnt,positive
118,ive tried several different earpiece cell phone jabra one first one ive found fit ear comfortably,positive
119,could not get strong enough signal,negative
120,pleased purchase,positive
121,bad quality,negative
122,get job done,positive
123,great audio,positive
124,basically service bad,negative
125,not work cell phone plug set charger,negative
126,ive bluetooth week really like,positive
127,bt headset,negative
128,small dont even realize getting used,positive
129,software almost brilliant,positive
130,headset work great packaged avoid,positive
131,recommend,positive
132,careful,negative
133,logitech earbud headset failed,negative
134,good stuff price,positive
135,headset work,positive
136,house getting dropped coverage no coverage,negative
137,voice recognition tremendous,positive
138,waste,negative
139,several different minute call experienced drop area bar,negative
140,not happy item,negative
141,disappointed,negative
142,phone take forever charge like hour literally,negative
143,got phone im glad,positive
144,waste time,negative
145,reception poor,negative
146,stated included description not included,negative
147,month screen went black,negative
148,hoping,negative
149,audio quality poor poor,negative
150,absolutely no problem headset blackberry,positive
151,know sound funny seemed like technology wouldnt work one work great,positive
152,ive bought wired headphone sound better,negative
153,phone fast sending kind message faster previous phone used,positive
154,nice quality cheap,positive
155,item fantastic work perfectly,positive
156,love,positive
157,wi superb,positive
158,whine internet use thing le like,negative
159,great charger,positive
160,essentially tool not,negative
161,work like charm work one got phone,positive
162,still maintain shouldnt make headphone obviously dont share enough design human,negative
163,great value,positive
164,doesnt work not working,negative
165,look sharp screen nice clear great graphic,positive
166,doesnt last long,negative
167,one thing hate set button side,negative
168,excellent service,positive
169,thank wasting money,negative
170,audio quality poor,negative
171,igo charger tip really great,positive
172,offer option one great,positive
173,superb phone great network,positive
174,connected wife phone worked like charm whether phone pocket case,positive
175,put latest like slow lock every,negative
176,phone storage device,negative
177,like loud buzzing override conversation phone,negative
178,dont buy product,negative
179,ive headset time still not comfortable way fit ear,negative
180,sound quality good functionality awesome,positive
181,phone side really,negative
182,recently problem could not stay connected minute,negative
183,incredible,positive
184,design flaw,negative
185,great phone,positive
186,waste buck,negative
187,check voice night keypad turn second first im lost,negative
188,replacement died week,negative
189,ring good phone buy,positive
190,extremely nice helpful phone,positive
191,problem hit dropping signal,negative
192,not impressed,negative
193,light weight hardly notice,positive
194,youll love thin,positive
195,bad choice,negative
196,case doesnt fit,negative
197,useless phone simply deaf,negative
198,color even prettier thought would graphic incredibly sharp,positive
199,think good,positive
200,make strange end call,negative
201,best,positive
202,battery last hour,negative
203,great headset impressed,positive
204,camera part phone reasonably good,positive
205,ive nearly year worked great,positive
206,good audio,positive
207,sending back,negative
208,not bother company product not bought form anyway,negative
209,hate avoid phone mean,negative
210,great price also,positive
211,range decent ive able around house phone living room no quality issue,positive
212,fast service,positive
213,would highly recommend,positive
214,would recommend,positive
215,also didnt like button felt like would use,negative
216,worst phone ever,negative
217,im still phone,positive
219,kind embarrassing use look mostly embarrassing company,negative
220,simple lightweight great fit,positive
221,id expected better consumer experience motorola,negative
222,there horrible sound background call never experienced,negative
223,certainly comfortable functionality decent,positive
224,usually dont like one lightweight doesnt mess hair,positive
225,im bit disappointed,negative
226,phone year tell not great,negative
227,ordered sony wi think worked thats first used,negative
228,battery completely useless,negative
229,big waste time,negative
230,dont waste one,negative
231,great sound service,positive
232,really pleased product far,positive
233,one favorite ever,positive
234,best bluetooth market,positive
235,authentic leather nice comfort recommend case,positive
236,excited get headset thought really cute,positive
237,not make mistake,negative
238,big disappointment,negative
239,phone unusable not new,negative
240,worst customer service ever,negative
241,no additional ear gel provided no instruction whatsoever,negative
242,bluetooth headset,negative
243,worth every,positive
244,excellent type phone case,positive
245,nice headphone price work great,positive
246,internet slow,negative
247,comfortable wear well probably important aspect using case,positive
248,fit like strong secure,positive
249,gosh best phone ever,positive
250,attractive appears good quality,positive
251,love feature form,positive
252,product strong smell unbearable caused return,negative
253,poor quality service,negative
254,cable look thin flimsy scary,negative
255,great earpiece,positive
256,excellent hand free tool,positive
257,great using home,positive
258,good product incredible value,positive
259,month worked flawlessly far,positive
260,work great,positive
261,junk,negative
262,one didnt work either,negative
263,battery life real good,positive
264,returned hour later,negative
265,great item,positive
266,dont waste money,negative
267,love headset,positive
268,not drain player may also fry,negative
269,worked perfectly,positive
270,unreliable im giving,negative
271,gave star sound quality,positive
272,avoid one,negative
273,plug work great,positive
274,wasted little money earpiece,negative
275,good phone,positive
276,best rotating feature helpful,positive
277,comfort whole family,positive
278,good product good seller,positive
279,love bluetooth,positive
280,first doesnt wear well,negative
281,impressed headset plantronics,positive
282,got small adorable,positive
283,great phone,positive
284,wouldnt recommend buying product,negative
285,piece junk,negative
286,poorly,negative
287,item great let charged working good every since no problem,positive
288,great phone,positive
289,dont buy,negative
290,excellent phone,positive
291,not purchase phone,negative
292,voice recognition thru excellent,positive
293,hand best phone ive ever,positive
294,work great cat phone scratched strip instead screen,positive
295,one work priced right,positive
296,customer service terrible,negative
297,battery life still not long enough motorola vi,negative
298,sending back,negative
299,know made decision,positive
300,someone,positive
301,good price,positive
302,everything worked first device certainly engineered clever way construction feel good,positive
303,received quickly work great,positive
304,working great,positive
305,many people complained found headset microphone weak,negative
306,year old nokia tracfone hold charge lot better,negative
307,not care consumer one bit,negative
308,good battery got really fast,positive
309,instruction manual lacking,negative
310,also slim enough fit alarm clock docking station without removing case,positive
311,phone hold charge like new,positive
312,battery unreliable well service use antena,negative
313,uncomfortable sound quality quite poor compared phone razr previous wired headset plugged lg,negative
314,gotten lot compliment,positive
315,definitely must state not allow cell phone usage driving,positive
316,want money back,negative
317,love device,positive
318,also happy price,positive
319,ordered product first unhappy immediately,negative
320,ngage still lacking earbuds,negative
321,able voice dialing car no problem,positive
322,bar cell phone home cant not hear anything,negative
323,good item low price,positive
324,howeverthe riingtones not best neither game,negative
325,plug not work well,negative
326,amazon suck,negative
327,rip charge shipping,negative
328,comfortable,positive
329,battery working well replacement original came phone year ago,positive
330,reception excellent,positive
331,fit comfortably either ear sound clear loud charge last couple day,positive
332,clear quality sound dont mess sound ipod since sound button headset,positive
333,long lasting battery dont recharge flip phone,negative
334,obviously problem,negative
335,disappointing,negative
336,inexpensive piece would still expected better quality,negative
337,practically useless not add kind boost reception bought,negative
338,excellent sound quality,positive
339,not happy,negative
340,piece junk broke phone day,negative
341,new battery work great phone,positive
342,worst customer service,negative
343,ive dropped phone time say even phone still great,positive
344,reception terrible full static,negative
